癌症	/cancer/
污染	/to pollute; to contaminate (lit. and fig.)/
无聊	/bored/boring/senseless/
无论	/no matter what or how/regardless of whether.../
误会	/to misunderstand/to mistake/misunderstanding/CL:個|个[ge4]/
西红柿	/tomato/CL:隻|只[zhi1]/
吸引	/to attract; to appeal to; to fascinate/
现金	/cash/
羡慕	/to envy/to admire/
相反	/opposite/contrary/
相同	/identical/same/
详细	/detailed/in detail/minute/
橡皮	/rubber/an eraser/CL:塊|块[kuai4]/
消息	/news/information/CL:條|条[tiao2]/
小吃	/snack/refreshments/CL:家[jia1]/
小伙子	/young man/young guy/lad/youngster/CL:個|个[ge4]/
小说	/novel/fiction/CL:本[ben3],部[bu4]/
笑话	/joke; jest (CL:個|个[ge4])/to laugh at; to mock/ridiculous; absurd/
效果	/result/effect/efficacy/(theater) sound or visual effects/
辛苦	/exhausting/hard/tough/arduous/to work hard/to go to a lot of trouble/hardship(s)/
心情	/mood; frame of mind/CL:個|个[ge4]/
信封	/envelope/CL:個|个[ge4]/
信息	/information/news/message/
信心	/confidence/faith (in sb or sth)/CL:個|个[ge4]/
兴奋	/excited/excitement/(physiology) excitation/
性别	/gender/sex/
性格	/nature/disposition/temperament/character/CL:個|个[ge4]/
幸福	/happiness/happy/blessed/
修理	/to repair/to fix/to prune/to trim/(coll.) to sort sb out/to fix sb/
许多	/many/a lot of/much/
学期	/term/semester/CL:個|个[ge4]/
压力	/pressure/
牙膏	/toothpaste/CL:管[guan3]/
亚洲	/Asia (abbr. for 亞細亞洲|亚细亚洲[Ya4 xi4 ya4 Zhou1])/
严格	/strict/stringent/tight/rigorous/
严重	/grave/serious/severe/critical/
研究	/research/a study/CL:項|项[xiang4]/to research/to look into/
演出	/to act (in a play)/to perform/to put on (a performance)/performance/concert/show/CL:場|场[chang3],次[ci4]/
演员	/actor; actress; performer/
眼镜	/spectacles/eyeglasses/CL:副[fu4]/
阳光	/sunshine/(of personality) upbeat; energetic/transparent (open to public scrutiny)/
养成	/to cultivate/to raise/to form (a habit)/to acquire/
样子	/appearance/manner/pattern/model/
邀请	/to invite/invitation/CL:個|个[ge4]/
要是	/(coll.) if/
钥匙	/key/CL:把[ba3]/
也许	/perhaps/maybe/
叶子	/leaf (CL:片[pian4])/(slang) marijuana/
一切	/everything/every/all/
以为	/to think (i.e. to take it to be true that ...) (Usually there is an implication that the notion is mistaken – except when expressing one's own current opinion.)/
意见	/idea/opinion/suggestion/objection/complaint/CL:點|点[dian3],條|条[tiao2]/
艺术	/art/
因此	/thus; consequently; as a result/
引起	/to give rise to; to lead to; to cause; to arouse/
印象	/impression (sth that stays in one's mind)/a memory/
应聘	/to accept a job offer/to apply for an advertised position/
勇敢	/brave; courageous/
永远	/forever/eternal/
优点	/merit/benefit/strong point/advantage/CL:個|个[ge4],項|项[xiang4]/
优秀	/outstanding; excellent/
幽默	/(loanword) humor/humorous/
由于	/due to/as a result of/thanks to/owing to/since/because/
邮局	/post office/CL:家[jia1],個|个[ge4]/
尤其	/especially; particularly/
有趣	/interesting/fascinating/amusing/
友好	/friendly; amicable/close friend/
友谊	/companionship/fellowship/friendship/
愉快	/cheerful/cheerily/delightful/pleasant/pleasantly/pleasing/happy/delighted/
于是	/thereupon; as a result; consequently; thus; hence/
语法	/grammar/
语言	/language/CL:門|门[men2],種|种[zhong3]/
羽毛球	/badminton/shuttlecock/
预习	/to prepare a lesson/
原来	/original; former/originally; formerly; at first/so, actually, as it turns out/
原谅	/to excuse/to forgive/to pardon/
原因	/cause/origin/root cause/reason/CL:個|个[ge4]/
约会	/appointment/engagement/date/CL:次[ci4],個|个[ge4]/to arrange to meet/
阅读	/to read/reading/
允许	/to permit/to allow/
杂志	/magazine/CL:本[ben3],份[fen4],期[qi1]/
咱们	/we or us (including both the speaker and the person(s) spoken to)/(dialect) I or me/(dialect) (in a coaxing or familiar way) you/also pr. [za2 men5]/
暂时	/temporary; provisional; for the time being/
责任	/responsibility/blame/duty/CL:個|个[ge4]/
增加	/to raise; to increase/
占线	/busy (telephone line)/
招聘	/to invite applications for a job/to recruit/
真正	/genuine; real; true/really; indeed/
整理	/to arrange/to tidy up/to sort out/to straighten out/to list systematically/to collate (data, files)/to pack (luggage)/
正常	/regular/normal/ordinary/
正好	/just (in time)/just right/just enough/to happen to/to chance to/by chance/it just so happens that/
正确	/correct; sound; right; proper/
正式	/formal; official/
证明	/proof/certificate/identification/testimonial/CL:個|个[ge4]/to prove/to testify/to confirm the truth of/
支持	/to be in favor of/to support/to back/support/backing/to stand by/CL:個|个[ge4]/
知识	/knowledge/CL:門|门[men2]/intellectual/
值得	/to be worth/to deserve/
直接	/direct (opposite: indirect 間接|间接[jian4 jie1])/immediate/straightforward/
植物	/plant/vegetation/CL:種|种[zhong3]/
职业	/occupation; profession; vocation/professional/
只好	/to have no other option but to ...; to have to; to be forced to/
只要	/if only/so long as/
质量	/quality/(physics) mass/
至少	/at least/(to say the) least/
重点	/important point; main point; focus/key (project etc)/to focus on; to put the emphasis on/
重视	/to attach importance to sth; to value/
周围	/environs; surroundings; periphery/
主意	/plan/idea/decision/CL:個|个[ge4]/Beijing pr. [zhu2 yi5]/
祝贺	/to congratulate/congratulations/CL:個|个[ge4]/
著名	/famous/noted/well-known/celebrated/
专门	/specialist/specialized/customized/
专业	/specialty/specialized field/main field of study (at university)/major/CL:門|门[men2],個|个[ge4]/professional/
准确	/accurate; exact; precise/
准时	/on time/punctual/on schedule/
仔细	/careful; attentive; cautious/to be careful; to look out/
自然	/nature/natural/naturally/
自信	/to have confidence in oneself/self-confidence/
总结	/to sum up/to conclude/summary/résumé/CL:個|个[ge4]/
最好	/best/had better ...; it would be best to .../
尊重	/to esteem/to respect/to honor/to value/eminent/serious/proper/
左右	/left and right/nearby/approximately/attendant/to control/to influence/
作家	/author/CL:個|个[ge4],位[wei4]/
座位	/seat/CL:個|个[ge4]/
作用	/to act on; to affect/action; function; activity/impact; result; effect/purpose; intent/(suffix) -ation, -tion etc, as in 抑制作用[yi4 zhi4 zuo4 yong4], inhibition/
作者	/author; writer/
阿姨	/maternal aunt/step-mother/childcare worker/nursemaid/woman of similar age to one's parents (term of address used by child)/CL:個|个[ge4]/
爱好	/to like; to be fond of; to take pleasure in; to be keen on/interest; hobby/CL:個|个[ge4]/
安静	/quiet/peaceful/calm/
办法	/means/method/way (of doing sth)/CL:條|条[tiao2],個|个[ge4]/
办公室	/office/business premises/bureau/CL:間|间[jian1]/
帮忙	/to help/to lend a hand/to do a favor/to do a good turn/
北方	/north/the northern part a country/China north of the Yellow River/
鼻子	/nose/CL:個|个[ge4],隻|只[zhi1]/
比较	/to compare/to contrast/comparatively/relatively/quite/comparison/
比赛	/competition (sports etc)/match/CL:場|场[chang3],次[ci4]/to compete/
笔记本	/notebook (stationery)/CL:本[ben3]/notebook (computing)/
必须	/to have to/must/compulsory/necessarily/
变化	/(intransitive) to change; to vary/change; variation/CL:個|个[ge4]/
别人	/other people; others; other person/
冰箱	/refrigerator/(old) icebox/
菜单	/menu/CL:份[fen4],張|张[zhang1]/
参加	/to participate/to take part/to join/
超市	/supermarket (abbr. for 超級市場|超级市场[chao1 ji2 shi4 chang3])/CL:家[jia1]/
衬衫	/shirt/blouse/CL:件[jian4]/
成绩	/achievement/performance records/grades/CL:項|项[xiang4],個|个[ge4]/
城市	/city; town/CL:座[zuo4]/
迟到	/to arrive late/
除了	/besides/apart from (... also...)/in addition to/except (for)/
词典	/dictionary/also written 辭典|辞典[ci2 dian3]/CL:部[bu4],本[ben3]/
聪明	/intelligent; clever; bright/acute (of sight and hearing)/
打扫	/to clean/to sweep/
打算	/to plan/to intend/to calculate/plan/intention/calculation/CL:個|个[ge4]/
担心	/anxious/worried/uneasy/to worry/to be anxious/
蛋糕	/cake/CL:塊|块[kuai4],個|个[ge4]/
当然	/only natural/as it should be/certainly/of course/without doubt/
地方	/area/place/space/room/territory/CL:處|处[chu4],個|个[ge4],塊|块[kuai4]/
地铁	/underground railway; subway/subway train/
地图	/map/CL:張|张[zhang1],本[ben3]/
电梯	/elevator/escalator/CL:臺|台[tai2],部[bu4]/
电子邮件	/email/CL:封[feng1],份[fen4]/
动物	/animal/CL:隻|只[zhi1],群[qun2],個|个[ge4]/
锻炼	/to toughen/to temper/to engage in physical exercise/to work out/(fig.) to develop one's skills/to train oneself/
多么	/how (wonderful etc)/what (a great idea etc)/however (difficult it may be etc)/(in interrogative sentences) how (much etc)/to what extent/
不但……而且……	not only…but also…
耳朵	/ear/CL:隻|只[zhi1],個|个[ge4],對|对[dui4]/handle (on a cup)/
发烧	/to have a high temperature (from illness)/to have a fever/
发现	/to notice; to become aware of/to discover; to find; to detect/a discovery/
方便	/convenient; suitable/to facilitate; to make things easy/having money to spare/(euphemism) to relieve oneself/
放心	/to feel relieved/to feel reassured/to be at ease/
附近	/nearby; neighboring/(in the) vicinity (of); neighborhood/
复习	/variant of 復習|复习[fu4 xi2]/
干净	/clean/neat/
感兴趣	/to be interested/
感冒	/to catch cold/(common) cold/CL:場|场[chang2],次[ci4]/(coll.) to be interested in (often used in the negative)/(Tw) to detest/can't stand/
刚才	/just now (variant of 剛才|刚才[gang1 cai2])/
个子	/height/stature/build/size/
根据	/according to/based on/basis/foundation/CL:個|个[ge4]/
公斤	/kilogram (kg)/
公园	/park (for public recreation)/CL:個|个[ge4],座[zuo4]/
故事	/narrative; story; tale/
刮风	/to be windy/
关系	/variant of 關係|关系[guan1 xi5]/
关心	/to be concerned about; to care about/
关于	/pertaining to/concerning/with regard to/about/a matter of/
国家	/country; nation; state/CL:個|个[ge4]/
过去	/(verb suffix)/
过（动词）	pass
还是	/still (as before)/had better/unexpectedly/or/
害怕	/to be afraid; to be scared/
黑板	/blackboard/CL:塊|块[kuai4],個|个[ge4]/
后来	/afterwards; later/newly arrived/
护照	/passport/CL:本[ben3],個|个[ge4]/
花（动词）	spend
花（名词）	flower
欢迎	/to welcome/welcome/
还（动词）	Return
环境	/environment/circumstances/surroundings/CL:個|个[ge4]/ambient/
黄河	/Yellow River or Huang He/
回答	/to reply; to answer/reply; answer/
会议	/meeting/conference/CL:場|场[chang3],屆|届[jie4]/
或者	/or/possibly; maybe; perhaps/
几乎	/almost; nearly; practically/
机会	/opportunity/chance/occasion/CL:個|个[ge4]/
记得	/to remember/
季节	/time/season/period/CL:個|个[ge4]/
检查	/inspection/to examine/to inspect/CL:次[ci4]/
简单	/simple; not complicated/
健康	/health/healthy/
见面	/to meet; to see each other/CL:次[ci4]/
街道	/street/CL:條|条[tiao2]/subdistrict/residential district/
结婚	/to marry/to get married/CL:次[ci4]/
结束	/termination/to finish/to end/to conclude/to close/
节目	/program/item (on a program)/CL:臺|台[tai2],個|个[ge4],套[tao4]/
节日	/holiday/festival/CL:個|个[ge4]/
解决	/to solve; to resolve; to settle (a problem)/to eliminate; to wipe out (an enemy, bandits etc)/
经常	/frequently; constantly; regularly; often/day-to-day; everyday; daily/
经过	/to pass/to go through/process/course/CL:個|个[ge4]/
经理	/manager/director/CL:個|个[ge4],位[wei4],名[ming2]/
句子	/sentence/CL:個|个[ge4]/
决定	/to decide (to do something)/to resolve/decision/CL:個|个[ge4],項|项[xiang4]/certainly/
可爱	/adorable/cute/lovely/
客人	/visitor/guest/customer/client/CL:位[wei4]/
空调	/air conditioning/air conditioner (including units that have a heating mode)/CL:臺|台[tai2]/
裤子	/trousers/pants/CL:條|条[tiao2]/
筷子	/chopsticks/CL:對|对[dui4],根[gen1],把[ba3],雙|双[shuang1]/
离开	/to depart; to leave/
礼物	/gift; present/CL:件[jian4],個|个[ge4],份[fen4]/
历史	/history/CL:門|门[men2],段[duan4]/
聊天	/to chat; to gossip/
练习	/to practice/exercise/drill/practice/CL:個|个[ge4]/
了解	/to understand/to realize/to find out/
邻居	/neighbor/next door/CL:個|个[ge4]/
留学	/to study abroad/
马上	/at once/right away/immediately/on horseback (i.e. by military force)/
满意	/satisfied/pleased/to one's satisfaction/
帽子	/hat/cap/(fig.) label/bad name/CL:頂|顶[ding3]/
面包	/bread/CL:片[pian4],袋[dai4],塊|块[kuai4]/
明白	/clear/obvious/unequivocal/to understand/to realize/
奶奶	/(informal) grandma (paternal grandmother)/(respectful) mistress of the house/CL:位[wei4]/(coll.) boobies/breasts/
难过	/to feel sad/to feel unwell/(of life) to be difficult/
年级	/grade/year (in school, college etc)/CL:個|个[ge4]/
年轻	/young/
努力	/to make an effort; to try hard; to strive/hard-working; conscientious/
爬山	/to climb a mountain/to mountaineer/hiking/mountaineering/
盘子	/tray/plate/dish/CL:個|个[ge4]/
啤酒	/beer (loanword)/CL:杯[bei1],瓶[ping2],罐[guan4],桶[tong3],缸[gang1]/
皮鞋	/leather shoes/
瓶子	/bottle/CL:個|个[ge4]/
其实	/actually; in fact; really/
其他	/other/(sth or sb) else/the rest/
奇怪	/strange/odd/to marvel/to be baffled/
起来	/(after a verb) indicating the beginning and continuation of an action or a state/indicating an upward movement (e.g. after 站[zhan4])/indicating completion/(after a perception verb, e.g. 看[kan4]) expressing preliminary judgment/also pr. [qi3 lai5]/
起飞	/(of an aircraft) to take off/
清楚	/clear/distinct/to understand thoroughly/to be clear about/
请假	/to request leave of absence/
裙子	/skirt/CL:條|条[tiao2]/
然后	/then; after that; afterwards/
热情	/cordial/enthusiastic/passion/passionate/passionately/
认为	/to believe; to think; to consider; to feel/
认真	/conscientious/earnest/serious/to take seriously/to take to heart/
容易	/easy; straightforward/likely; liable to; apt to/
如果	/if/in case/in the event that/
上网	/to go online/to connect to the Internet/(of a document etc) to be uploaded to the Internet/(tennis, volleyball etc) to move in close to the net/
生气	/to get angry; to be furious/vitality; liveliness/
声音	/voice/sound/CL:個|个[ge4]/
世界	/world (CL:個|个[ge4])/
