"保持⠀";"bǎochí";"/to keep/to maintain/to hold/to preserve//to keep/to maintain/to hold/to preserve";"保 (to protect)";"Other words using this character: 保护 (protect); 保证 (guarantee); 保存 (to conserve); 保留 (retain); 保险 (insurance)";"持 (to hold)";"Other words using this character: 坚持 (persist); 支持 (support); 持续 (continue); 主持 (host)";"❈ 保持冷静。";"<i>bǎochí lěngjìng.</i><br></br>Maintain composure.";"❈ 保持健康的生活方式。";"<i>bǎochí jiànkāng de shēnghuó fāngshì.</i><br></br>Maintain a healthy lifestyle.";"❈ 保持微笑。";"<i>bǎochí wēixiào.</i><br></br>Keep smiling.";"🐇 魏无羡努力保持自己的微笑，不让别人看出内心的痛苦。";"<i>wèiwúxiàn nǔlì bǎochí zìjǐ de wēixiào, bùràng biéren kànchū nèixīn de tòngkǔ.</i><br></br>Wei Wuxian tries to maintain his smile and not let others see his inner pain.";"♻❈ 危险来临时，我们要保持冷静。";"<i>wēixiǎn lái línshí, wǒmen yào bǎochí lěngjìng.</i><br></br>When danger comes, we need to stay calm."
"主张⠀";"zhǔzhāng";"/to advocate/to stand for/view/position/stand/proposition/viewpoint/assertion/CL:個|个[ge4]//to advocate/to stand for/view/position/stand/proposition/viewpoint/assertion/CL:个[gè]";"主 (owner)";"Other words using this character: 主要 (main); 主意 (plan); 主持 (host); 主观 (subjective); 主题 (theme); 主任 (director); 公主 (princess); 主动 (initiative); 主人 (master); 主席 (chairperson)";"张 (spread)";"Other words using this character: 张 (spread); 紧张 (tense); 慌张 (flustered); 夸张 (exaggerate)";"❈ 公司主张员工的权益。";"<i>gōngsī zhǔzhāng yuángōng de quányì.</i><br></br>The company stands for the rights of the employees.";"❈ 他主张保护环境。";"<i>tā zhǔzhāng bǎohùhuánjìng.</i><br></br>He advocates for environmental protection.";"❈ 他在会议上提出了自己的主张。";"<i>tā zài huìyì shàng tíchū le zìjǐ de zhǔzhāng.</i><br></br>He put forward his own proposition at the meeting.";"🐇 魏无羡一直主张以和为贵，不愿意见到江湖纷争。";"<i>wèiwúxiàn yīzhí zhǔzhāng yǐhéwéiguì, bù yuànyì jiàndào jiānghú fēnzhēng.</i><br></br>Wei Wuxian has always advocated for peace and is unwilling to see the conflicts in the world.";"♻🐇 蓝忘机坚决反对盗版音乐，主张支持正版。";"<i>lánwàngjī jiānjué fǎnduì dàobǎn yīnyuè, zhǔzhāng zhīchí zhèngbǎn.</i><br></br>Lan Wangji strongly opposes pirated music and advocates supporting the genuine version."
"祝福⠀";"zhùfú";"/blessings/to wish sb well//blessings/to wish sb well";"祝 (pray)";"Other words using this character: 祝贺 (congratulate); 庆祝 (celebrate)";"福 (good fortune)";"Other words using this character: 幸福 (happiness)";"❈ 祝福你们幸福美满。";"<i>zhùfú nǐmen xìngfúměimǎn.</i><br></br>Wish you happiness and fulfillment.";"❈ 他送来了祝福和鲜花。";"<i>tā sònglái le zhùfú hé xiānhuā.</i><br></br>He brought blessings and flowers.";"❈ 祝福你生日快乐！";"<i>zhùfú nǐ shēngrìkuàilè!</i><br></br>Wish you a happy birthday!";"🐇 金凌接受了蓝曦臣的祝福，心中充满感激。";"<i>jīnlíng jiēshòu le lánxīchén de zhùfú, xīnzhōng chōngmǎn gǎnjī.</i><br></br>Jin Ling accepted Lan Xichen's blessings, feeling grateful in his heart.";"🦝 我祝福你在新的一年里幸福快乐。";"<i>wǒ zhùfú nǐ zài xīn de yīnián lǐ xìngfúkuàilè.</i><br></br>I bless you with happiness and joy in the new year."
"注册⠀";"zhùcè";"/to register/to enroll//to register/to enroll";"注 (annotate)";"Other words using this character: 注意 (pay attention)";"册 (book)";"Other words using this character: 册 (book)";"❈ 你需要在网上注册。";"<i>nǐ xūyào zài wǎngshàng zhùcè.</i><br></br>You need to register online.";"❈ 这个活动需要提前注册。";"<i>zhège huódòng xūyào tíqián zhùcè.</i><br></br>This activity requires advance registration.";"❈ 她已经注册了明年的课程。";"<i>tā yǐjīng zhùcè le míngnián de kèchéng.</i><br></br>She has already enrolled in next year's courses.";"❈ 我需要注册一个新账户。";"<i>wǒ xūyào zhùcè yīgè xīn zhànghù.</i><br></br>I need to register a new account.";"❈ 注册手续需要一些时间。";"<i>zhùcèshǒuxù xūyào yīxiē shíjiān.</i><br></br>The registration process takes some time."
"抓紧⠀";"zhuājǐn";"/to keep a firm grip on/to pay close attention to/to lose no time in (doing sth)//to keep a firm grip on/to pay close attention to/to lose no time in (doing sth)";"抓 (grab)";"Other words using this character: 抓 (grab)";"紧 (tight)";"Other words using this character: 紧张 (tense); 紧急 (urgent); 不要紧 (unimportant); 赶紧 (hurriedly)";"❈ 他抓紧了机会，成功了。";"<i>tā zhuājǐn le jīhuì, chénggōng le.</i><br></br>He seized the opportunity and succeeded.";"❈ 我们必须抓紧这个机会。";"<i>wǒmen bìxū zhuājǐn zhège jīhuì.</i><br></br>We must seize this opportunity.";"❈ 抓紧时间，我们要赶到机场。";"<i>zhuājǐnshíjiān, wǒmen yào gǎndào jīchǎng.</i><br></br>Pay attention to the time, we need to get to the airport.";"🐇 蓝忘机抓紧魏无羡的手，不让他离开。";"<i>lánwàngjī zhuājǐn wèiwúxiàn de shǒu, bùràng tā líkāi.</i><br></br>Lan Wangji firmly holds onto Wei Wuxian's hand, not letting him go."
"转变⠀";"zhuǎnbiàn";"/to change/to transform/shift/transformation/CL:個|个[ge4]//to change/to transform/shift/transformation/CL:个[gè]";"转 (turn)";"Other words using this character: 转 (turn); 转告 (pass on)";"变 (change)";"Other words using this character: 变化 (change); 改变 (change)";"❈ 他的态度发生了转变。";"<i>tā de tàidu fāshēng le zhuǎnbiàn.</i><br></br>His attitude has changed.";"❈ 经过多年的努力，这个城市发生了翻天覆地的转变。";"<i>jīngguò duōnián de nǔlì, zhège chéngshì fāshēng le fāntiānfùdì de zhuǎnbiàn.</i><br></br>After years of effort, this city has undergone a tremendous transformation.";"❈ 这次会议标志着公司发展方向的转变。";"<i>zhècì huìyì biāozhì zhe gōngsī fāzhǎn fāngxiàng de zhuǎnbiàn.</i><br></br>This meeting marks a shift in the company's development direction.";"🐇 蓝曦臣的转变让人刮目相看。";"<i>lánxīchén de zhuǎnbiàn ràng rén guāmùxiāngkàn.</i><br></br>Lan Xichen's transformation was impressive.";"♻🐇 蓝忘机的冷漠态度突然转变，画风突变，让人难以捉摸。";"<i>lánwàngjī de lěngmò tàidu tūrán zhuǎnbiàn, huàfēng tūbiàn, ràng rén nányǐzhuōmō.</i><br></br>Lan Wangji's indifferent attitude suddenly changed, the painting style changed, making it hard to predict."
"装饰⠀";"zhuāngshì";"/to decorate/decoration/decorative/ornamental//to decorate/decoration/decorative/ornamental";"装 (adornment)";"Other words using this character: 假装 (pretend); 装 (adornment); 装修 (decorate); 安装 (install); 服装 (clothing)";"饰 (decoration)";"There are no other HSK words in this level (or before) using this character.";"❈ 他们正在装饰圣诞树。";"<i>tāmen zhèngzài zhuāngshì shèngdànshù.</i><br></br>They are decorating the Christmas tree.";"❈ 她喜欢用花来装饰房间。";"<i>tā xǐhuan yònghuālái zhuāngshì fángjiān.</i><br></br>She likes to decorate the room with flowers.";"❈ 这些装饰品很漂亮。";"<i>zhèxiē zhuāngshìpǐn hěnpiāoliàng.</i><br></br>These decorations are very beautiful.";"🐇 蓝忘机的佩剑上装饰着精美的玉佩。";"<i>lánwàngjī de pèijiàn shàng zhuāngshì zhe jīngměi de yùpèi.</i><br></br>Lan Wangji's sword is decorated with exquisite jade ornaments.";"♻❈ 这个建筑物的两侧装饰着美丽的壁画。";"<i>zhège jiànzhùwù de liǎngcè zhuāngshì zhe měilì de bìhuà.</i><br></br>Beautiful murals decorate both sides of this building."
"撞⠀";"zhuàng";"/to knock against/to bump into/to run into/to meet by accident//to knock against/to bump into/to run into/to meet by accident";"撞 (collision)";"There are no other HSK words in this level (or before) using this character.";"❈ 他不小心撞到了墙上。";"<i>tā bù xiǎoxīn zhuàng dào le qiángshàng.</i><br></br>He accidentally bumped into the wall.";"❈ 我撞见他在偷看我的笔记。";"<i>wǒ zhuàngjiàn tā zài tōukàn wǒ de bǐjì.</i><br></br>I caught him peeking at my notes.";"❈ 她撞见了他和另一个女孩子在一起。";"<i>tā zhuàngjiàn le tā hé lìng yīgè nǚháizi zài yīqǐ.</i><br></br>She ran into him with another girl.";"🐇 蓝曦臣撞到了一只小猫。";"<i>lánxīchén zhuàng dào le yīzhī xiǎomāo.</i><br></br>Lan Xichen bumped into a little cat.";"♻❈ 他们迎面相撞了。";"<i>tāmen yíngmiàn xiāngzhuàng le.</i><br></br>They collided head-on."
"状态⠀";"zhuàngtài";"/condition; state; state of affairs/CL:個|个[ge4]//condition; state; state of affairs/CL:个[gè]";"状 (state)";"Other words using this character: 形状 (form); 状况 (condition)";"态 (appearance)";"Other words using this character: 态度 (attitude)";"❈ 他的状态让人担忧。";"<i>tā de zhuàngtài ràng rén dānyōu.</i><br></br>His condition is worrying.";"❈ 他的健康状态很好。";"<i>tā de jiànkāng zhuàngtài hěn hǎo.</i><br></br>His health condition is very good.";"❈ 公司的财务状态不容乐观。";"<i>gōngsī de cáiwù zhuàngtài bùrónglèguān.</i><br></br>The company's financial state is not optimistic.";"🐇 蓝忘机的状态很好，他一直保持着优雅的风度。";"<i>lánwàngjī de zhuàngtài hěn hǎo, tā yīzhí bǎochí zhe yōuyǎ de fēngdù.</i><br></br>Lan Wangji's state is very good; he always maintains an elegant demeanor.";"♻❈ 他的心理状态需要得到关注。";"<i>tā de xīnlǐ zhuàngtài xūyào dédào guānzhù.</i><br></br>His mental state needs attention."
"追求⠀";"zhuīqiú";"/to pursue (a goal etc) stubbornly/to seek after/to woo//to pursue (a goal etc) stubbornly/to seek after/to woo";"追 (chase)";"Other words using this character: 追 (chase)";"求 (seek)";"Other words using this character: 要求 (requirement); 请求 (request); 征求 (to solicit)";"❈ 他一直追求着自己的梦想，从未放弃。";"<i>tā yīzhí zhuīqiú zhe zìjǐ de mèngxiǎng, cóngwèi fàngqì.</i><br></br>He has been pursuing his dream persistently and never gave up.";"❈ 她并不追求名利，只想过平凡的生活。";"<i>tā bìng bù zhuīqiúmínglì, zhǐxiǎng guò píngfán de shēnghuó.</i><br></br>She doesn't pursue fame and fortune, she just wants to live an ordinary life.";"❈ 追求幸福是每个人的权利。";"<i>zhuīqiúxìngfú shì měige rén de quánlì.</i><br></br>Pursuing happiness is everyone's right.";"🐇 蓝曦臣追求和平，努力调解家族内部的矛盾。";"<i>lánxīchén zhuīqiú hépíng, nǔlì tiáojiě jiāzú nèibù de máodùn.</i><br></br>Lan Xichen pursues peace, making efforts to mediate the internal conflicts of the family.";"♻❈ 崇高的理想是值得追求的。";"<i>chónggāo de lǐxiǎng shì zhíde zhuīqiú de.</i><br></br>Majestic ideals are worth pursuing."
"资金⠀";"zījīn";"/funds; capital//funds; capital";"资 (resources)";"Other words using this character: 工资 (wages); 投资 (investment); 资格 (qualifications); 资料 (data); 资源 (resource)";"金 (gold)";"Other words using this character: 奖金 (bonus); 现金 (cash); 黄金 (gold); 押金 (deposit); 金属 (metal)";"❈ 这个项目需要大量的资金支持。";"<i>zhège xiàngmù xūyào dàliàng de zījīn zhīchí.</i><br></br>This project needs a lot of financial support.";"❈ 他们成功地筹集了所需的资金。";"<i>tāmen chénggōng dì chóují le suǒ xū de zījīn.</i><br></br>They successfully raised the necessary funds.";"❈ 公司正在筹集资金扩大业务。";"<i>gōngsī zhèngzài chóujízījīn kuòdà yèwù.</i><br></br>The company is raising funds to expand its business.";"🐇 他们筹集了足够的资金来支持这个慈善项目。";"<i>tāmen chóují le zúgòu de zījīn lái zhīchí zhège císhàn xiàngmù.</i><br></br>They raised enough funds to support this charity project.";"♻❈ 这个项目需要索取更多的资金。";"<i>zhège xiàngmù xūyào suǒqǔ gēng duō de zījīn.</i><br></br>This project needs to demand more funds."
"资源⠀";"zīyuán";"/natural resource (such as water or minerals)/resource (such as manpower or tourism)//natural resource (such as water or minerals); resource (such as manpower or tourism); Ziyuan county in Guilin 桂林[Guì lín], Guangxi";"资 (resources)";"Other words using this character: 工资 (wages); 投资 (investment); 资格 (qualifications); 资料 (data); 资金 (funds)";"源 (source)";"Other words using this character: 能源 (energy)";"❈ 旅游资源是这个城市的优势之一。";"<i>lǚyóu zīyuán shì zhège chéngshì de yōushì zhīyī.</i><br></br>Tourism resources are one of the advantages of this city.";"❈ 人力资源是企业发展的关键。";"<i>rénlìzīyuán shì qǐyè fāzhǎn de guānjiàn.</i><br></br>Human resources are the key to the development of enterprises.";"❈ 这个国家拥有丰富的自然资源。";"<i>zhège guójiā yōngyǒu fēngfù de zìránzīyuán.</i><br></br>This country has abundant natural resources.";"🐇 温情在医疗资源的分配上非常公平。";"<i>wēnqíng zài yīliáo zīyuán de fēnpèi shàng fēicháng gōngpíng.</i><br></br>Wen Qing is very fair in the allocation of medical resources.";"♻❈ 这个地区的水资源非常充沛。";"<i>zhège dìqū de shuǐzīyuán fēicháng chōngpèi.</i><br></br>The water resources in this area are very plentiful."
"咨询⠀";"zīxún";"/to consult/to seek advice/consultation/(sales) inquiry (formal)//to consult/to seek advice/consultation/(sales) inquiry (formal)";"咨 (consult)";"There are no other HSK words in this level (or before) using this character.";"询 (inquire)";"Other words using this character: 询问 (inquire)";"❈ 我需要你的咨询来解决这个问题。";"<i>wǒ xūyào nǐ de zīxún lái jiějué zhège wèntí.</i><br></br>I need your consultation to solve this problem.";"❈ 他去咨询了医生的意见。";"<i>tā qù zīxún le yīshēng de yìjiàn.</i><br></br>He went to seek the doctor's advice.";"❈ 如果有问题，请随时咨询我。";"<i>rúguǒ yǒu wèntí, qǐng suíshí zīxún wǒ.</i><br></br>If you have any questions, please feel free to consult me at any time.";"🐇 金凌咨询江澄关于家族历史的问题。";"<i>jīnlíng zīxún jiāngchéng guānyú jiāzú lìshǐ de wèntí.</i><br></br>Jin Ling consulted Jiang Cheng about the family's history.";"♻🐇 温情建立了一个医疗网址，方便大家在线咨询医生。";"<i>wēnqíng jiànlì le yīgè yīliáo wǎngzhǐ, fāngbiàn dàjiā zàixiàn zīxún yīshēng.</i><br></br>Wen Qing established a medical website for everyone to consult doctors online."
"字母⠀";"zìmǔ";"/letter (of the alphabet)/CL:個|个[ge4]//letter (of the alphabet)/CL:个[gè]";"字 (letter)";"Other words using this character: 名字 (name); 字 (letter); 数字 (number); 字幕 (subtitle); 文字 (character)";"母 (mother)";"Other words using this character: 母亲 (mother)";"❈ 这个单词的拼写中包含了26个字母。";"<i>zhège dāncí de pīnxiě zhōng bāohán le èrliù gè zìmǔ.</i><br></br>This word's spelling contains 26 letters.";"❈ 她喜欢用彩色的字母贴纸装饰房间。";"<i>tā xǐhuan yòng cǎisè de zìmǔ tiēzhǐ zhuāngshì fángjiān.</i><br></br>She likes to decorate the room with colorful letter stickers.";"❈ 孩子们正在学习认识字母。";"<i>háizi men zhèngzài xuéxí rènshi zìmǔ.</i><br></br>The children are learning to recognize the letters.";"🐇 蓝忘机在书房里专心研究字母的变体，希望能有所突破。";"<i>lánwàngjī zài shūfáng lǐ zhuānxīn yánjiū zìmǔ de biàntǐ, xīwàng néng yǒusuǒtūpò.</i><br></br>Lan Wangji focused on studying the variations of letters in the study, hoping for a breakthrough.";"♻❈ 每个字母都对应一个音标。";"<i>měige zìmǔ dōu duìyìng yīgè yīnbiāo.</i><br></br>Each letter corresponds to a phonetic symbol."
"自从⠀";"zìcóng";"/since (a time)/ever since//since (a time)/ever since";"自 (self)";"Other words using this character: 自己 (oneself); 自行车 (bicycle); 来自 (come from); 自然 (natural); 自信 (self-confidence); 各自 (each); 自动 (automatic); 自由 (freedom); 亲自 (personally); 自豪 (proud)";"从 (from)";"Other words using this character: 从 (from); 从来 (always); 从而 (thus); 从前 (previously); 从此 (from now on); 从事 (to engage in)";"❈ 自从上次见面后，我们就再也没有联系过。";"<i>zìcóng shàngcì jiànmiàn hòu, wǒmen jiù zàiyě méiyǒu liánxì guò.</i><br></br>We haven't been in touch since the last meeting.";"❈ 自从搬到这个城市，她的生活发生了很大变化。";"<i>zìcóng bān dào zhège chéngshì, tā de shēnghuó fāshēng le hěndà biànhuà.</i><br></br>Since moving to this city, her life has changed a lot.";"❈ 自从他离开后，我就再也没有见过他。";"<i>zìcóng tā líkāi hòu, wǒ jiù zàiyě méiyǒu jiàn guò tā.</i><br></br>I haven't seen him since he left.";"🐇 自从蓝忘机离开云深不知处，魏无羡就开始思念他。";"<i>zìcóng lánwàngjī líkāi yúnshēn bùzhī chù, wèiwúxiàn jiù kāishǐ sīniàn tā.</i><br></br>Since Lan Wangji left the Cloud Recesses, Wei Wuxian has been missing him.";"♻❈ 他的成绩一直很好，自从上学以来就没掉过队。";"<i>tā de chéngjì yīzhí hěn hǎo, zìcóng shàngxué yǐlái jiù méidiào guòduì.</i><br></br>His grades have always been good, and he has never fallen behind since he started school."
