"唉⠀";"āi||ài";"/alas/oh dear//interjection or grunt of agreement or recognition (e.g. yes, it's me!); to sigh||alas; oh dear";"唉 (sigh)";"There are no other HSK words in this level (or before) using this character.";"❈ 唉，我真的不知道该怎么办。";"<i>āi, wǒ zhēnde bù zhīdào gāi zěnmebàn.</i><br></br>Oh dear, I really don't know what to do.";"❈ 唉，这个消息真让人难过。";"<i>āi, zhège xiāoxi zhēnràngrén nánguò.</i><br></br>Alas, this news is really sad.";"❈ 唉，这件事真让人伤心。";"<i>āi, zhèjiàn shì zhēnràngrén shāngxīn.</i><br></br>Alas, this is really heartbreaking.";"🐇 唉，这世上怎么会有如此狡诈的人。";"<i>āi, zhè shìshàng zěnme huì yǒu rúcǐ jiǎozhà de rén.</i><br></br>Oh dear, how can there be such cunning people in this world."
"爱心⠀";"àixīn";"/compassion/kindness/care for others/love/CL:片[pian4]/charity (bazaar, golf day etc)/heart (the symbol ♥)//compassion/kindness/care for others/love/CL:片[piàn]/charity (bazaar, golf day etc)/heart (the symbol ♥)";"爱 (love)";"Other words using this character: 爱 (love); 爱好 (hobby); 可爱 (adorable); 爱情 (romance); 亲爱 (dear); 热爱 (love ardently); 爱护 (cherish); 爱惜 (cherish); 恋爱 (love); 疼爱 (love dearly)";"心 (heart)";"Other words using this character: 担心 (worried); 放心 (reassured); 关心 (concerned); 小心 (careful); 粗心 (careless); 开心 (happy); 耐心 (patience); 伤心 (grieve); 心情 (mood); 信心 (confidence)";"❈ 她的爱心感动了很多人。";"<i>tā de àixīn gǎndòng le hěnduō rén.</i><br></br>Her compassion touched many people.";"❈ 这个慈善机构一直在倡导爱心。";"<i>zhège císhànjīgòu yīzhí zài chàngdǎo àixīn.</i><br></br>This charity has been advocating love and compassion.";"❈ 送一颗爱心给需要帮助的人。";"<i>sòng yīkē àixīn gěi xūyào bāngzhù de rén.</i><br></br>Send a heart to those in need of help.";"🐇 温情在慈善晚宴上展现了她的爱心。";"<i>wēnqíng zài císhàn wǎnyàn shàng zhǎnxiàn le tā de àixīn.</i><br></br>Wen Qing showed her compassion at the charity gala.";"♻🐇 魏无羡对待小狗总是充满爱心，他特别喜欢犬。";"<i>wèiwúxiàn duìdài xiǎogǒu zǒngshì chōngmǎn àixīn, tā tèbié xǐhuan quǎn.</i><br></br>Wei Wuxian is always loving towards puppies; he especially likes dogs."
"硬⠀";"yìng";"/hard; stiff; solid/(fig.) strong; firm/resolutely; uncompromisingly/laboriously; with great difficulty/good (quality); able (person)/(of food) filling; substantial//hard; stiff; solid/(fig.) strong; firm/resolutely; uncompromisingly/laboriously; with great difficulty/good (quality); able (person)/(of food) filling; substantial";"硬 (hard)";"Other words using this character: 硬件 (hardware)";"❈ 他是一个硬汉，从不轻易低头。";"<i>tā shì yīgè yìnghàn, cóngbù qīngyì dītóu.</i><br></br>He is a tough guy, never easily bows his head.";"❈ 这个面包很硬，吃起来不好咬。";"<i>zhège miànbāo hěn yìng, chī qǐlai bùhǎo yǎo.</i><br></br>This bread is very hard, it's hard to chew.";"❈ 这个椅子很硬，坐起来不舒服。";"<i>zhège yǐzi hěn yìng, zuò qǐlai bù shūfu.</i><br></br>This chair is very hard, it's uncomfortable to sit on.";"🐇 蓝忘机的外表看起来很硬，其实内心很温柔。";"<i>lánwàngjī de wàibiǎo kànqǐlai hěn yìng, qíshí nèixīn hěn wēnróu.</i><br></br>Lan Wangji's appearance seems hard, but he is actually gentle inside.";"♻❈ 他是一个硬核的游戏玩家。";"<i>tā shì yīgè yìnghé de yóuxì wánjiā.</i><br></br>He is a hardcore gamer."
"应付⠀";"yìngfu";"/to deal with; to cope//to deal with; to cope";"应 (respond)";"Other words using this character: 应该 (should); 适应 (adapt); 应聘 (apply); 反应 (react); 应用 (apply); 答应 (promise)";"付 (to pay)";"Other words using this character: 付款 (payment)";"❈ 我们需要找到更好的方法来应付这个问题。";"<i>wǒmen xūyào zhǎodào gēnghǎo de fāngfǎ lái yìngfù zhège wèntí.</i><br></br>We need to find a better way to cope with this problem.";"❈ 他们不知道该如何应付这个突发事件。";"<i>tāmen bù zhīdào gāi rúhé yìngfù zhège tūfāshìjiàn.</i><br></br>They don't know how to deal with this unexpected event.";"❈ 她很擅长应付各种复杂的情况。";"<i>tā hěn shàncháng yìngfù gèzhǒng fùzá de qíngkuàng.</i><br></br>She is very good at dealing with various complicated situations.";"❈ 我觉得自己无法应付这么多的压力。";"<i>wǒ juéde zìjǐ wúfǎ yìngfù zhème duō de yālì.</i><br></br>I feel that I can't cope with so much pressure.";"❈ 他学会了应付生活中的各种挑战。";"<i>tā xuéhuì le yìngfù shēnghuó zhōng de gèzhǒng tiǎozhàn.</i><br></br>He learned to deal with various challenges in life."
"应用⠀";"yìngyòng";"/to put to use; to apply/practical; applied (science, linguistics etc)/application; practical use/(computing) app//to put to use; to apply/practical; applied (science, linguistics etc)/application; practical use/(computing) app";"应 (respond)";"Other words using this character: 应该 (should); 适应 (adapt); 应聘 (apply); 反应 (react); 应付 (deal with); 答应 (promise)";"用 (to use)";"Other words using this character: 信用卡 (credit card); 用 (to use); 使用 (use); 作用 (affect); 利用 (exploit); 日用品 (daily use items); 用功 (diligent); 运用 (use); 实用 (practical); 用途 (use)";"❈ 他学习了很多应用科学知识。";"<i>tā xuéxí le hěnduō yìngyòngkēxué zhīshi.</i><br></br>He has learned a lot of applied science knowledge.";"❈ 这个应用程序非常方便。";"<i>zhège yìngyòngchéngxù fēicháng fāngbiàn.</i><br></br>This app is very convenient.";"❈ 我们需要找到一个实际应用。";"<i>wǒmen xūyào zhǎodào yīgè shíjì yìngyòng.</i><br></br>We need to find a practical application.";"🐇 蓝忘机在修复忘羡宫的时候，应用了他的音律知识。";"<i>lánwàngjī zài xiūfù wàngxiàngōng de shíhou, yìngyòng le tā de yīnlǜ zhīshi.</i><br></br>Lan Wangji applied his knowledge of music theory when repairing the Wenshui Tang.";"♻❈ 他开发了一个新的手机应用。";"<i>tā kāifā le yīgè xīn de shǒujī yìngyòng.</i><br></br>He developed a new mobile application."
"拥挤⠀";"yōngjǐ";"/crowded/to throng/congestion//crowded/to throng/congestion";"拥 (embrace)";"Other words using this character: 拥抱 (embrace)";"挤 (squeeze)";"There are no other HSK words in this level (or before) using this character.";"❈ 这个地方总是拥挤。";"<i>zhège dìfāng zǒngshì yōngjǐ.</i><br></br>This place is always crowded.";"❈ 人群拥挤在一起。";"<i>rénqún yōngjǐ zài yīqǐ.</i><br></br>The crowd throngs together.";"❈ 地铁上非常拥挤。";"<i>dìtiě shàng fēicháng yōngjǐ.</i><br></br>The subway is very crowded.";"🐇 江澄不擅长应对拥挤的场合。";"<i>jiāngchéng bù shàncháng yìngduì yōngjǐ de chǎnghé.</i><br></br>Jiang Cheng is not good at dealing with crowded occasions.";"♻❈ 高峰期交通会比较拥挤。";"<i>gāofēngqī jiāotōng huì bǐjiào yōngjǐ.</i><br></br>The traffic is more crowded during peak hours."
"勇气⠀";"yǒngqì";"/courage/valor//courage/valor";"勇 (brave)";"Other words using this character: 勇敢 (brave)";"气 (air)";"Other words using this character: 天气 (weather); 不客气 (you're welcome); 生气 (angry); 空气 (air); 力气 (strength); 脾气 (temperament); 气候 (climate); 气氛 (atmosphere); 淘气 (naughty); 小气 (stingy)";"❈ 他展现了巨大的勇气。";"<i>tā zhǎnxiàn le jùdà de yǒngqì.</i><br></br>He showed great courage.";"❈ 她的勇气鼓舞了我们。";"<i>tā de yǒngqì gǔwǔ le wǒmen.</i><br></br>Her courage inspired us.";"❈ 勇气是战胜困难的力量。";"<i>yǒngqì shì zhànshèng kùnnán de lìliang.</i><br></br>Courage is the power to overcome difficulties.";"🐇 蓝忘机的勇气和忠诚令人敬佩，他从不畏惧任何困难。";"<i>lánwàngjī de yǒngqì hé zhōngchéng lìngrén jìngpèi, tā cóngbù wèijù rènhé kùnnán.</i><br></br>Lan Wangji's courage and loyalty are admirable; he never fears any difficulty.";"♻❈ 我羡慕她的勇气。";"<i>wǒ xiànmù tā de yǒngqì.</i><br></br>I admire her courage."
"用功⠀";"yònggōng";"/diligent/industrious (in one's studies)/to study hard/to make great effort//diligent/industrious (in one's studies)/to study hard/to make great effort";"用 (to use)";"Other words using this character: 信用卡 (credit card); 用 (to use); 使用 (use); 作用 (affect); 利用 (exploit); 日用品 (daily use items); 应用 (apply); 运用 (use); 实用 (practical); 用途 (use)";"功 (achievement)";"Other words using this character: 成功 (succeed); 功夫 (skill); 功能 (function)";"❈ 用功是成功的关键。";"<i>yònggōng shì chénggōng de guānjiàn.</i><br></br>Hard work is the key to success.";"❈ 她用功地准备考试。";"<i>tā yònggōng dì zhǔnbèi kǎoshì.</i><br></br>She is studying hard for the exam.";"❈ 他是一个用功的学生。";"<i>tā shì yīgè yònggōng de xuésheng.</i><br></br>He is a diligent student.";"🐇 金凌用功练习剑术，希望有一天能够超越他的父亲。";"<i>jīnlíng yònggōng liànxí jiànshù, xīwàng yǒu yītiān nénggòu chāoyuè tā de fùqīn.</i><br></br>Jin Ling studies swordsmanship diligently, hoping to surpass his father one day.";"♻❈ 她很用功，学习成绩很好。";"<i>tā hěn yònggōng, xuéxíchéngjì hěn hǎo.</i><br></br>She is very hardworking and has good study results."
"优惠⠀";"yōuhuì";"/privilege/favorable (terms)/preferential (treatment)/discount (price)//privilege/favorable (terms)/preferential (treatment)/discount (price)";"优 (excellent)";"Other words using this character: 优点 (merit); 优秀 (outstanding); 优势 (superiority); 优美 (graceful)";"惠 (kindness)";"There are no other HSK words in this level (or before) using this character.";"❈ 他们为员工提供了很多优惠政策。";"<i>tāmen wéi yuángōng tígōng le hěnduō yōuhuìzhèngcè.</i><br></br>They have provided many preferential policies for the employees.";"❈ 这个优惠对我们来说是一个好消息。";"<i>zhège yōuhuì duì wǒmen láishuō shì yīgè hǎoxiāoxí.</i><br></br>This discount is good news for us.";"❈ 这家商店给学生很多优惠。";"<i>zhèjiā shāngdiàn gěi xuésheng hěnduō yōuhuì.</i><br></br>This store offers a lot of discounts to students.";"🐇 蓝忘机得到了一份优惠的待遇，这是他应得的。";"<i>lánwàngjī dédào le yífèn yōuhuì de dàiyù, zhè shì tā yīngdé de.</i><br></br>Lan Wangji received a preferential treatment, which he deserved.";"♻❈ 这张优惠券可以在超市使用。";"<i>zhèzhāng yōuhuìquàn kěyǐ zài chāoshì shǐyòng.</i><br></br>This coupon can be used at the supermarket."
"优势⠀";"yōushì";"/superiority/dominance/advantage//superiority/dominance/advantage";"优 (excellent)";"Other words using this character: 优点 (merit); 优秀 (outstanding); 优惠 (privilege); 优美 (graceful)";"势 (power)";"Other words using this character: 趋势 (trend); 形势 (circumstances); 姿势 (posture)";"❈ 我们的队伍占据了优势。";"<i>wǒmen de duìwǔ zhànjù le yōushì.</i><br></br>Our team has the advantage.";"❈ 这个产品的优势在于价格便宜。";"<i>zhège chǎnpǐn de yōushì zàiyú jiàgébiànyí.</i><br></br>The advantage of this product lies in its low price.";"❈ 他们在这个领域有很大的优势。";"<i>tāmen zài zhège lǐngyù yǒu hěndà de yōushì.</i><br></br>They have a great dominance in this field.";"❈ 这个产品的价格优势很明显。";"<i>zhège chǎnpǐn de jiàgéyōushì hěn míngxiǎn.</i><br></br>The price advantage of this product is very obvious.";"❈ 我们的队伍有明显的优势。";"<i>wǒmen de duìwǔ yǒu míngxiǎn de yōushì.</i><br></br>Our team has a clear advantage."
"悠久⠀";"yōujiǔ";"/long (tradition, history etc)//long (tradition, history etc)";"悠 (leisurely)";"There are no other HSK words in this level (or before) using this character.";"久 (long time)";"Other words using this character: 久 (long time)";"❈ 这个古老的城市有悠久的历史。";"<i>zhège gǔlǎo de chéngshì yǒu yōujiǔ de lìshǐ.</i><br></br>This ancient city has a long history.";"❈ 这个传统已经悠久存在了很多年。";"<i>zhège chuántǒng yǐjīng yōujiǔ cúnzài le hěnduōnián.</i><br></br>This tradition has been long-standing for many years.";"❈ 这个民族有着悠久的文化传统。";"<i>zhège mínzú yǒuzhe yōujiǔ de wénhuà chuántǒng.</i><br></br>This ethnic group has a long cultural tradition.";"🐇 魏无羡对降妖除魔术有着悠久的研究。";"<i>wèiwúxiàn duì jiàngyāochúmó shù yǒuzhe yōujiǔ de yánjiū.</i><br></br>Wei Wuxian has a long-standing research interest in demon-subduing spells.";"♻❈ 犹太人的历史很悠久。";"<i>yóutàirén de lìshǐ hěn yōujiǔ.</i><br></br>The history of the Jews is very long."
"油炸⠀";"yóuzhá";"/to deep fry//to deep fry";"油 (oil)";"Other words using this character: 加油站 (gas station); 酱油 (soy sauce); 汽油 (gasoline)";"炸 (deep fry)";"There are no other HSK words in this level (or before) using this character.";"❈ 她正在学习如何油炸食物。";"<i>tā zhèngzài xuéxí rúhé yóuzhá shíwù.</i><br></br>She is learning how to deep fry food.";"❈ 这家餐馆的特色菜是油炸鸡。";"<i>zhèjiā cānguǎn de tèsècài shì yóuzhá jī.</i><br></br>The specialty dish of this restaurant is deep-fried chicken.";"❈ 他不喜欢吃油炸食品。";"<i>tā bù xǐhuan chī yóuzhá shípǐn.</i><br></br>He doesn't like to eat deep-fried food.";"🐇 金凌在家自学了油炸技巧，做出了一道香脆可口的油炸花生米。";"<i>jīnlíng zàijiā zìxué le yóuzhá jìqiǎo, zuòchū le yīdào xiāngcuì kěkǒu de yóuzhá huāshēngmǐ.</i><br></br>Jin Ling self-taught the skill of deep frying at home and made a crispy and delicious dish of deep-fried peanuts."
"有利⠀";"yǒulì";"/advantageous; favorable//advantageous; favorable";"有 (have)";"Other words using this character: 有 (have); 有名 (famous); 所有 (all); 有趣 (interesting)";"利 (advantage)";"Other words using this character: 流利 (fluent); 顺利 (smoothly); 利息 (interest); 利用 (exploit); 利润 (profits); 利益 (benefit); 权利 (right); 胜利 (victory)";"❈ 这次变故对我们是有利的。";"<i>zhècì biàngù duì wǒmen shì yǒulì de.</i><br></br>This change is advantageous for us.";"❈ 这个政策对企业发展非常有利。";"<i>zhège zhèngcè duì qǐyè fāzhǎn fēicháng yǒulì.</i><br></br>This policy is very advantageous for business development.";"❈ 他的建议对我们很有利。";"<i>tā de jiànyì duì wǒmen hěn yǒulì.</i><br></br>His suggestion is very favorable for us.";"🐇 江澄的果断决策对家族发展十分有利。";"<i>jiāngchéng de guǒduàn juécè duì jiāzú fāzhǎn shífēn yǒulì.</i><br></br>Jiang Cheng's decisive decision-making is very favorable for the family's development.";"♻❈ 这个政策对企业的发展有利。";"<i>zhège zhèngcè duì qǐyè de fāzhǎn yǒulì.</i><br></br>This policy is beneficial to the development of enterprises."
"娱乐⠀";"yúlè";"/to entertain/to amuse/entertainment/recreation/amusement/hobby/fun/joy//to entertain/to amuse/entertainment/recreation/amusement/hobby/fun/joy";"娱 (amuse)";"There are no other HSK words in this level (or before) using this character.";"乐 (happy)";"Other words using this character: 快乐 (happy); 音乐 (music); 俱乐部 (club); 乐观 (optimistic); 乐器 (musical instrument)";"❈ 这个节目很娱乐。";"<i>zhège jiémù hěn yúlè.</i><br></br>This show is very entertaining.";"❈ 她喜欢娱乐活动。";"<i>tā xǐhuan yúlèhuódòng.</i><br></br>She enjoys recreational activities.";"❈ 娱乐是我的爱好之一。";"<i>yúlè shì wǒ de àihào zhīyī.</i><br></br>Entertainment is one of my hobbies.";"🐇 蓝忘机不擅长娱乐活动。";"<i>lánwàngjī bù shàncháng yúlèhuódòng.</i><br></br>Lan Wangji is not good at recreational activities.";"♻❈ 赌博是一种不良的娱乐方式。";"<i>dǔbó shì yīzhǒng bùliáng de yúlè fāngshì.</i><br></br>Gambling is a bad form of entertainment."
"预报⠀";"yùbào";"/forecast//forecast";"预 (advance)";"Other words using this character: 预习 (prepare a lesson); 预防 (prevent); 预订 (book ahead)";"报 (report)";"Other words using this character: 报纸 (newspaper); 报名 (sign up); 报到 (report for duty); 报告 (report); 报道 (report); 报社 (newspaper)";"❈ 这个预报是准确的。";"<i>zhège yùbào shì zhǔnquè de.</i><br></br>This forecast is accurate.";"❈ 天气预报说明天会下雨。";"<i>tiānqìyùbào shuō míngtiān huì xiàyǔ.</i><br></br>The weather forecast says it will rain tomorrow.";"❈ 他预报了这场比赛的结果。";"<i>tā yùbào le zhèchǎng bǐsài de jiéguǒ.</i><br></br>He forecasted the result of this game.";"🐇 金凌查看了明日的天气预报，准备好出门。";"<i>jīnlíng chákàn le míngrì de tiānqìyùbào, zhǔnbèi hǎo chūmén.</i><br></br>Jin Ling checked the forecast for tomorrow's weather and prepared to go out.";"♻❈ 我查了一下天气预报，明天会下雨。";"<i>wǒchá le yīxià tiānqìyùbào, míngtiān huì xiàyǔ.</i><br></br>I checked the weather forecast, it will rain tomorrow."
"预防⠀";"yùfáng";"/to prevent/to take precautions against/to protect/to guard against/precautionary/prophylactic//to prevent/to take precautions against/to protect/to guard against/precautionary/prophylactic";"预 (advance)";"Other words using this character: 预习 (prepare a lesson); 预报 (forecast); 预订 (book ahead)";"防 (defend)";"There are no other HSK words in this level (or before) using this character.";"❈ 我们应该预防感冒。";"<i>wǒmen yīnggāi yùfáng gǎnmào.</i><br></br>We should take precautions against catching a cold.";"❈ 这种疫苗可以预防疾病。";"<i>zhèzhǒng yìmiáo kěyǐ yùfáng jíbìng.</i><br></br>This vaccine can prevent the disease.";"❈ 预防措施是非常重要的。";"<i>yùfángcuòshī shì fēicháng zhòngyào de.</i><br></br>Preventive measures are very important.";"🐇 蓝忘机总是预防着魏无羡的一举一动。";"<i>lánwàngjī zǒngshì yùfáng zhe wèiwúxiàn de yījǔyīdòng.</i><br></br>Lan Wangji always guards against Wei Wuxian's every move.";"♻❈ 预防疾病是非常重要的。";"<i>yùfáng jíbìng shì fēicháng zhòngyào de.</i><br></br>Preventing disease is very important."
"圆⠀";"yuán";"/circle/round/circular/spherical/(of the moon) full/unit of Chinese currency (yuan)/tactful/to make consistent and whole (the narrative of a dream or a lie)//circle/round/circular/spherical/(of the moon) full/unit of Chinese currency (yuan)/tactful/to make consistent and whole (the narrative of a dream or a lie)";"圆 (round)";"There are no other HSK words in this level (or before) using this character.";"❈ 这个硬币是圆的。";"<i>zhège yìngbì shì yuán de.</i><br></br>This coin is round.";"❈ 月亮今晚很圆。";"<i>yuèliang jīnwǎn hěnyuán.</i><br></br>The moon is very full tonight.";"❈ 他的解释很圆满。";"<i>tā de jiěshì hěn yuánmǎn.</i><br></br>His explanation is very tactful.";"🐇 魏无羡画了一个圆。";"<i>wèiwúxiànhuà le yīgè yuán.</i><br></br>Wei Wuxian drew a circle.";"♻❈ 团圆饭是中国传统的习俗之一。";"<i>tuányuánfàn shì zhōngguó chuántǒng de xísú zhīyī.</i><br></br>Reunion dinner is one of the traditional customs in China."
"元旦⠀";"yuándàn";"/New Year's Day//New Year's Day";"元 (original)";"Other words using this character: 元 (original); 单元 (unit); 公元 (CE)";"旦 (dawn)";"Other words using this character: 一旦 (once)";"❈ 元旦是一个全球性的节日。";"<i>yuándàn shì yīgè quánqiúxìng de jiérì.</i><br></br>New Year's Day is a global holiday.";"❈ 我们通常在元旦举行家庭聚会。";"<i>wǒmen tōngcháng zài yuándàn jǔxíng jiātíngjùhuì.</i><br></br>We usually have a family gathering on New Year's Day.";"❈ 元旦是中国的传统节日。";"<i>yuándàn shì zhōngguó de chuántǒngjiérì.</i><br></br>New Year's Day is a traditional Chinese festival.";"🐇 蓝忘机和魏无羡在元旦那天一起上山采药。";"<i>lánwàngjī hé wèiwúxiàn zài yuándàn nàtiān yīqǐ shàngshān cǎiyào.</i><br></br>Lan Wangji and Wei Wuxian went up the mountain to gather herbs on New Year's Day."
