我	wǒ	/I; me; my/
粉絲行為，偶像買單	fěn sī xíng wéi, ǒu xiàng mǎi dān	<Expression> Fans’ behavior+the idol pays the bill
開黑	kāi hēi	v. Open+black
目測要火	mù cè yào huǒ	<Expression> Visual estimate+will go viral
立flag	lì flag	v. To plant a flag
白毛女	bái máo nǚ	n. The white haired girl
開封菜	kāi fēng cài	n. The Kaifeng cuisine
金拱門	jīn gǒng mén	n. The golden arched door
大清已亡	dà qīng yǐ wáng	<Expression> The Qing dynasty has already perished
這盛世如你所願	zhè shèng shì rú nǐ suǒ yuàn	<Expression> This golden age, as you wished for
吊打	diào dǎ	v. To hang someone up and beat him or her
勞模姐	láo mó jiě	n. Model worker+ sister
母胎SOLO	mǔ tāi SOLO	adj. Womb+Solo [performance]
嗯嗯	en en	interj. An enthusiastic way of showing confirmation
我能怎麽辦? 我也很絕望啊!	wǒ néng zěn me bàn? wǒ yě hěn jué wàng a	<Expression> What can I do? I am also in despair
熊本熊	xióng běn xióng	n. Kumamon, a mascot created by the government of Kumamoto Prefecture, Japan in 2010 for a campaign to draw tourists to the region
吸霾	xī mái	v. Sniff+smog
吸貓	xī māo	v. Sniff+cat
抖S	dǒu s	adj./n. Shake+S
抖M	dǒu m	adj./n. Shake+M
強排	qiáng pái	v. Strongly+stand [behind you]
愛無能	ài wú néng	n. Inability to love
解鎖技能	jiě suǒ jì néng	v. Unlock+skill
黑花	hēi huā	n. Black+flower
黑草	hēi cǎo	n. Black+grass
帶節奏	dài jié zòu	v. Lead+rhythm
照騙	zhào piàn	n. Photo+deception
豬精女孩	zhū jīng nǚ hái	n. <Fandom Terminology> Pig spirit+girl
逆天改命	nì tiān gǎi mìng	<Expression> Defy heaven and change one’s destiny
割	gē	v. Cut. This Internet slang term is widely used on The Encyclopedia of Awkwardness, a Chinese humor website, to indicate the transition from background information to the main part of the joke
抖機靈	dǒu jī ling	<Expression> Shake+cleverness
斷眉	duàn méi	n. Broken eyebrow
囧雪诺	jiǒng xuě nuò	n. Awkward+Snow
媽賣批	mā mài pī	<Expletive>This is a sexist expletive phrase from the Chongqing dialect
娘炮	niáng pào	n. & adj. An effeminate man
群嘲	qún cháo	v. Group+mock
E神	E shén	n. E+deity
神經病啊	shén jīng bìng a	<Expression> [One of Xue Zhiqian’s pet phrases] Neurotic! This expression means “Are you crazy?” or “Are you nuts?”
我不要面子的啊	wǒ bú yào miàn zi de a	[One of Xue Zhiqian’s pet phrases] [You think] I don’t want face?! This expression means “You think I don’t want a good reputation?”
整段垮掉	zhěng duàn kuǎ diào	[One of Xue Zhiqian’s pet phrases] The whole segment collapses
高仿號	gāo fǎng hào	n. High+imitate+account
霸氣側漏	bà qì cè lòu	<Expression> Swag+side leakage [as of sanitary towels]
犀利	xī lì	adj. Incisive
犀利哥	xī lì gē	n. Brother Incisive
放飛自我	fàng fēi zì wǒ	<Expression> Allow oneself to take off
喜大普奔	xǐ dà pǔ bēn	<Expression> [Of news, etc
喜聞樂見	xǐ wén lè jiàn	Love to see and hear
大快人心	dà kuài rén xīn	[usually of the punishment of an evil-doer] Most gratifying to the people
普天同慶	pǔ tiān tóng qìng	The whole world or nation rejoices
奔走相告	bēn zǒu xiāng gào	Run around spreading the news
圍笑	wéi xiào	v. & n. Surround+smile
戲精	xì jīng	n. Drama+spirit
顏即正義	yán jì zhèng yì	<Expression> Appearance is justice
皮皮蝦，我們走	pí pí xiā, wǒ men zǒu	<Expression> Mantis shrimp, let’s go
鎖場	suǒ chǎng	v. To lock the auditorium
把我炸出來	bǎ wǒ zhà chū lái	<Expression> Bomb me out
情懷	qíng huái	n. Sentiment
不忘初心	bú wàng chū xīn	<Expression> Do not forget the original aspiration
喪	sàng	adj./v. To vegetate due to deep frustration
喪文化	sàng wén huà	n. The subculture of vegetating
小確喪	xiǎo què sàng	n. Little+definite+frustration
打Call	dǎ call	v. To root for [someone or something]
女司機	nǚ sī jī	n. Female driver
馬路殺手	mǎ lù shā shǒu	n. Road+killer
紮心了，老鐵	zhā xīn le, lǎo tiě	<Expression> It smarts, buddy
手欠	shǒu qiàn	adj. Hand+lacking
尬聊	gà liáo	v. Embarrassment+chat
小仙女	xiǎo xiān nǚ	n. Little+nymph
還有這種操作	hái yǒu zhè zhǒng cāo zuò	<Gaming terminology> Expression
黑人問號	hēi rén wèn hào	n. Black person+question marks
站隊	zhàn duì	v. Stand+queue
砸簡歷	zá jiǎn lì	Smash+resumes
推送	tuī sòng	v. Push+send
綠綠	lǜ lǜ	n. Green green
翻墻	fān qiáng	v. To climb over a wall
墻內	qiáng nèi	adj. On this side of the wall
墻外	qiáng wài	adj. On the other side of the wall
虐腹	nüè fù	v. Abuse+abdomen
愛笑的女孩運氣不會太差	ài xiào de nǚ hái yùn qi bú huì tài chà	: Girls who like laughing usually don’t have bad luck
撒狗糧	sǎ gǒu liáng	v. To pour dog food
回憶殺	huí yì shā	n. Memory+kill
摸頭殺	mō tóu shā	n. Gently caress and stroke the head+kill
少女心	shào nǚ xīn	n. Teen girl’s heart
三歲	sān suì	n. Three-year-old
勞資 (=老子)	láo zī (=lǎo zi)	n. Labor+capital. I.
手撕鬼子	shǒu sī guǐ zi	n. To lacerate the devils [a term of abuse for foreign invaders, particularly Japanese invaders] by hand
抗日神劇	kàng rì shén jù	n. Epic dramas of the War of Resistance against Japan
秒回	miǎo huí	v. To reply within a second
心大	xīn dà	adj. Heart+big
臉大	liǎn dà	adj. Big-faced
自黑	zì hēi	v. To make self-effacing comments
你的良心不會痛嗎	nǐ de liáng xīn bú huì tòng ma	<Expression> Doesn’t your conscience feel pain? This expression originated from an Internet joke about the bromance between Tang poets Du Fu and Li Bai
流量小生	liú liàng xiǎo shēng	n. Traffic+young man
流量小花	liú liàng xiǎo huā	n. Traffic+little flower
盆栽精	pén zāi jīng	n. Bonsai+elf/spirit
葛優癱	gě yōu tān	n. Ge You slouch
別說話，吻我	bié shuō huà, wěn wǒ	Expression
厲害了word…	lì hài le word…	<Expression> An alternative way of 厲害了我的… [lì hài le wǒ de…]
點讚之交	diǎn zàn zhī jiāo	n. Click+like+acquaintances
惹	rě	Particle. This Internet slang term is a substitute for 了 [le] which is a particle indicating the completion of an action
這樣的。。。給我來一打	zhè yàng de…gěi wǒ lái yì dá	<Expression> Give me a dozen of…like this
鬼知道我經歷了什麼	guǐ zhī dào wǒ jīng lì le shén me	<Expression> The ghost knows what I went through
什麼仇什麼怨	shén me chóu, shén me yuàn	<Expression> What grudge do you hold against me? This expression first became popular in 2014 as a passenger’s reply to another passenger who tried to stop him from cracking melon seeds on the bus
廢柴	fèi chái	n. Trashy+firewood
黑歷史	hēi lì shǐ	n. Black+history
錢妞	qián niū	n. Money+lass
吉米肥倫秀	jí mǐ féi lún xiù	n. Jimmy+fat+[Fal]lon+show
吉米雞毛秀	jí mǐ jī máo xiù	n. Jimmy+Chicken feather+show
釦釦熊	kòu kòu xióng	n. Button+button+bear
囧司徒	jiǒng sī tú	n. Awkward+Situ [Chinese surname]
雨神	yǔ shén	n. Rain God
水果姐	shuǐ guǒ jiě	n. Fruit+sister
付蘭蘭 / 腐蘭蘭	fù lán lán / fǔ lán lán	n. Fu Lanlan or Rotten Lanlan.
麻辣雞	má là jī	n. Spicy+chick
火星哥	huǒ xīng gē	n. Brother Mars
抖森	dǒu sēn	n. Tremble+forest
蛋妞兒	dàn niū er	n. Egg+lass
卷福	juǎn fú	n. Curly+Holmes
囧瑟夫	jiǒng sè fū	n. Awkward+[Jo]seph
水逆	shuǐ nì	n. Mercury+retrograde
霉霉	méi méi	n. Mold Mold or Bummed Bummed
丁日	dīng rì	n. Dick+fxxk
高司令	gāo sī lìng	n. Commander Gao
宇宙觀	yǔ zhòu guān	n. Universe+view
怎麼破	zěn me pò	Expression
喪心病狂	sàng xīn bìng kuáng	adj. Frenzied and perverse
傳送門	chuán sòng mén	n. Convey+door
攤手	tān shǒu	v./n. To have one’s open palms face upwards
周邊	zhōu biān	n. Peripheral [products
黑科技	hēi kē jì	n. Black technology
熱單	rè dān	n. 【Music】Hot+single
你还记得大明湖畔的。。。吗	nǐ hái jì dé dà míng hú pàn de…ma	<Expression> Do you still remember…by the Daming Lake? This question was originally a line from the 1998 TV show Princess Return Pearl [or My Fair Princess]
爆表	bào biǎo	adj./adv. Off the charts, extrodinarily out of the norm, top of the line
教科書般	jiào kē shū bān	adj. Textbook
不裝逼我們還是好朋友	bù zhuāng bī wǒ men hái shì hǎo péng yǒu	<Expression> If you don’t act all snotty, we can still be good friends
放空	fàng kōng	v. To become mentally remote, to space out; to empty one’s mind
推坑	tuī kēng	v. To push [someone] into a pit
棄坑	qì kēng	v. To abandon a pit
出坑	chū kēng	v. To get out of a pit
填坑	tián kēng	v. To fill a pit
挖坑	wā kēng	v. To dig a pit
嚇尿	xià niào	v. Spooked+pee
公知	gōng zhī	n. Bogus experts
禁慾系	jìn yù xì	n. Abstinent+sect
日了狗	rì le gǒu	<Expression> Boinked the dog
然並卵	rán bīng luǎn	Expression
追劇	zhuī jù	v. Chase+drama
視姦	shī jiān	v. Visually+rape
磚家	zhuān jiā	n. Brick+expert
乾了這碗毒雞湯	gān le zhè wǎn dú jī tāng	Drink up this bowl of poisonous chicken soup
先森	xiān sēn	n. First+forest
跪舔	guì tiǎn	v. Kneel+lick
細思恐極	xì sī kǒng jí	Expression
請收下我的膝蓋	qǐng shōu xià wǒ de xī gài	<Expression> Please accept my knees
活捉一只	huó zhuō yì zhī	v. To catch a [cute person, animal, or thing] alive
蹭熱度	cèng rè dù	v. Cadge+heat
單身汪	dān shēn wāng	n. Single+woof
嗨p	hāi p	adj. Hi+P
天啦嚕	tiān la lu	Interj. Zoikes; well, well; oh Lord; wow
你這是在搞事情	nǐ zhè shì zài gǎo shì qing	Expression
握爪	wò zhǎo/wò zhuǎ	v. Hold+claw
懟	duǐ	v. 1. To inveigh against [someone]
相愛相殺	xiāng ài xiāng shā	<Expression> To love and kill each other
你咋不上天呢	nǐ zǎ bú shàng tiān ne	Expression
原地爆炸	yuán dì bào zhà	Expression
萌炸	méng zhà	adj. Cute+explode
來啊，互相傷害啊	lái a, hù xiāng shāng hài a	<Expression> Come on, let’s hurt each other
先馬後看	xiān mǎ hòu kàn	<Expression> First+bookmark+later+read
藍瘦香菇	lán shòu xiāng gū	n. Blue+slim+shiitake mushroom
種草	zhòng cǎo	v. Grow+grass
小白	xiǎo bái	n. Little+white
男神經 /女神經	nán shén jīng / nǚ shén jīng	Male buffoon/ female buffoon.
閃	shǎn	v. Literally “flash,” this Internet slang term means to leave swiftly, to beat a hasty retreat
有毒	yǒu dú	adj. Poisonous
炒雞	chǎo jī	adj. Stir-fry+chicken
敲	qiāo	adj. Strike
泥萌	ní méng	pron. Mud+cute
拉拉	lā lā	n./adj. Holding (hands)
有範	yǒu fàn	adj. Having great panache, radiant with confidence, displaying distinctive and stylish elegance
厲害了我的哥	lì hài le wǒ de gē	<Expression> Wow you rock, my brother
敲黑板	qiāo hēi bǎn	V. To strike the blackboard with one’s knuckles or hand (to ask the students to pay attention)
此處應有掌聲	cǐ chù yīng yǒu zhǎng shēng	<Expression> A round of applause is expected here
感覺身體被掏空	gǎn jué shēn tǐ bèi tāo kōng	<Expression> [I] feel the insides of my body were scooped out
脫線	tuō xiàn	v. To derail
造	zào	v. To know, know of
始於顏值，陷於才華，忠於人品	shǐ yú yán zhí, xiàn yú cái huá, zhōng yú rén pǐn	Expression
二哈	èr hā	n. Silly+Ha
癡漢臉	chī hàn liǎn	n. Infatuated man’s face
灣灣	wān wān	n. Wan Wan
實力	shí lì	adj./adv. Derived from the original noun “capability,” this Internet slang term is used as an adjective meaning “real,” or “evidence-based” and as an adverb meaning “strongly” and “effectively
墻裂	qiáng liè	adj. Wall+crack
霍比特人 (=哈比人)	huò bǐ tè rén (=hā bǐ rén)	n. The Hobbits.
凹造型 (=拗造型 )	āo zào xíng (=ǎo zào xíng)	n. Concave+pose=twist+pose.
擔當	dān dāng	n. [Role] assumption
嘴炮	zuǐ pào	n. Mouth+cannon
尷尬癥	gān gà zhèng	n. Embarrassment+ syndrome
尷尬癌	gān gà ái	n. Chagrin+cancer
懶癌	lǎn ái	n. Laziness cancer
在線	zài xiàn	adj. On+line
粗線	cū xiàn	v. Bold+line
鍾黑	zhōng hēi	n. Chung+black
又叒叕	yòu ruò zhuó	adv. Again + Again×3 + Again×4
清流	qīng liú	n. Limpid+stream
泥石流	ní shí liú	n. Mud-and-stone flow
吃土	chī tǔ	v. To eat soil
老幹部	lǎo gàn bu	n. Old cadres
碾壓	niǎn yā	v. To mash [someone]
噴子	pēn zi	n. Literally “sprayers,” this Internet slang term means Internet trolls, or people who make deliberately offensive or provocative online postings
比心 /筆芯	bǐ xīn	Gesticulate+heart
科科	kē kē	n. Taiwanese Internet slang term meaning 呵呵 [hē hē], the sound of a smirk or an adorable giggle
妖艷賤貨	yāo yàn jiàn huò	n. Pretty and coquettish bitches
好單純好不做作	hǎo dān chún hǎo bú zuò zuò	<Expression> So innocent, so unpretentious
迷之=蜜汁	mí zhī/mì zhī	adj. Mystical, inexplicable.
白蓮花	bái lián huā	n. White lotus flower
吃瓜群眾	chī guā qún zhòng	n. The watermelon-eating people
耽美	dān měi	n. Obsess+beauty
同人	tóng rén	n. Japanese term doujin referring to a group of people or friends who share an interest, activity, hobbies, or achievement
對方不想和你說話並向你扔了一隻狗	duì fāng bù xiǎng hé nǐ shuō huà bìng xiàng nǐ rēng le yì zhī gǒu	n. The other party didn’t want to talk to you and threw a dog at you
同框	tóng kuāng	v. Same+frame
背鍋	bēi guō	v. Carry+wok
甩鍋	shuǎi guō	v. Dump+wok
一言不合就。。。	yì yán bù hé jiù…	<Expression> [To do something] because of a word of discord
油管	yóu guǎn	n. Gas pipeline
約炮	yuē pào	v. Appointment+cannon
飯	fàn	n. Fan.
飯制	fàn zhì	adj. Fan-made
飯拍	fàn pāi	adj. Fan-shot
毀童年	huǐ tóng nián	adj. Destroy+childhood
乾貨	gān huò	n. Dry+goods
行走的荷爾蒙	xíng zǒu de hé ěr méng	n. The walking hormones
剩男	shèng nán	n. Leftover men
剩女	shèng nǚ	n. Leftover women
內個	nèi ge	interj. An alternative of 那個 [nà ge] “that one
抱大腿	bào dà tuǐ	v. Hug+lap
雨露均霑	yǔ lù jūn zhān	v. To bestow benefits equally
刷	shuā	v. To swipe
科普	kē pǔ	v. To popularize science
狗帶	gǒu dài	v. Dog leash
撞臉	zhuàng liǎn	v. Face+bump
沒想到你是這樣的。。。	méi xiǎng dào nǐ shì zhè yàng de…	<Expression> I didn’t know you were such a… Traditionally this sentence structure is used to chastise someone, but as an Internet slang term, it is used to reveal a little-known trait of someone or something for comic effect
彩蛋	cǎi dàn	n. Colorful+egg
碧池	bì chí	n. Turquoise pond
老司機	lǎo sī jī	n. The old driver
不能我一個人瞎	bù néng wǒ yí gè rén xiā	<Expression> I can’t go blind alone
手賤	shǒu jiàn	adj. Hand+base
人設	rén shè	n. Short for 人物設定 [rén wù shè dìng] character design
小黃書	xiǎo huáng shū	n. Little+yellow+book
愛情動作片	ài qíng dòng zuò pian	Love+action+movie
船戲 (=床戲)	chuán xì/chuáng xì	n. Boat scenes=bed scenes=sex scenes.
滾床單	gǔn chuáng dān	v. roll+bed sheets
欲求不满	yù qiú bù mǎn	adj. Having unsatisfied sexual desire
發糖	fā táng	v. To give out candies
好奇寶寶	háo qí bǎo bao	n. Curious baby
LOL=擼啊擼	lū a lū	n. League of Legends, a multiplayer online video game
黑子	hēi zi	n. Black mole/sunspot
啪啪啪	pā pā pā	n. The sound of slapping or smacking
雅蠛蝶	yǎ miè dié	n. Literally “small elegant butterfly,” this Internet meme became popular around 2009
顏藝	yán yì	n. The art of facial expression, especially the acting style featuring contorted facial expressions
酸	suān	v. Sour. To make snide remarks
有毒	yǒu dú	adj. Poisonous
蘇 (=酥)	sū	adj. (Of a person’s limbs) weak, soft.
油菜花	yóu cài huā	n. Canola flower/rape flower
放開他, 讓我來	fàng kāi tā, ràng wǒ lái	Get your hands off him, let me handle this
直女癌	zhí nǚ ái	n. Straight woman cancer
無感	wú gǎn	adj. No feeling
生無可戀	shēng wú kě liàn	<Expression> There is nothing in life to long for
套路	tào lù	n. Trap+path
我走過最遠的路，是你的套路	wǒ zǒu guò zuì yuǎn de lù, shì nǐ de tào lù	The longest path I have ever taken, is the path to your trap
少一點套路，多一點真誠	shǎo yì diǎn tào lù, duō yì diǎn zhēn chéng	Fewer schemes and more sincerity please
浪	làng	v. To play in an unrestrained way
圈粉	quān fěn	n. Encircle+fans
洪荒之力	hóng huāng zhī lì	n. Primeval power
發動洪荒之力	fā dǒng hóng huāng zhī lǐ	“To harness the premival strength”
抵擋不住體內的洪荒之力	dǐ dǎng bú zhù tǐ nèi de hóng huāng zhī lì	“[I] can’t resist the primeval power in my body”
麼麼噠	mē mē da	n. 麼 [mē] is an onomatopoeia that mimics the sound of a gentle kiss aka “mwa,” [or chup in Thai, schmatz in German, mats-muts in Greek, umma in Malayalam, and chu in Japanese]
